"ImageIndex","Chapter","Map","Source","Destination","SHA256","Status"
"60","1","117","1787760348637_2210334767131197631_g1860709059863148993_c9b0c3d53c497370398951016897f240.jpg","masterdata/chap1/117.jpeg","EA4D168CB3BBEB0E91BCC9DE29D6703DCC6DF4F8B9BE2F1DDD3422E395E16BFB","added"
"61","1","119","1787760348713_2210334767131197631_g1860709059863148993_04bf418e8493e72877cae0f73a11071c.jpg","masterdata/chap1/119.jpeg","2C18B59491254567E39E25BDD7D56E05B0635B53BE62BB888DFB0710E9B45EB1","added"
"62","1","120","1787760370595_2210334767131197631_g1860709059863148993_7cd7b2d2fd6dfd0ae27fd9b3d7445843.jpg","masterdata/chap1/120.jpeg","CA1BF92F947898746D29772B2CD15CDD08D64F26E0EE1C5958DE17DD0F3077F0","added"
"63","1","122","1787760370671_2210334767131197631_g1860709059863148993_b1f9d16808e249bf7ff1eaaf7451cb98.jpg","masterdata/chap1/122.jpeg","8D47DF6410427C2F741C2AD4DE647FA681CF0957F8FA5F5151E714521B34B467","added"
"64","1","123","1787760370756_2210334767131197631_g1860709059863148993_cb3b9f5776ce4251476c818b3c6ef1f7.jpg","masterdata/chap1/123.jpeg","1760583C5AD823B938270FB73118351D6535043F20108BF2FEB7D4383A501CA8","added"
"65","1","124","1787760370864_2210334767131197631_g1860709059863148993_da997b675f21b9514670e588c1f3f717.jpg","masterdata/chap1/124.jpeg","0D668C0627DCC60D5246E4B8240D1957AE9E7657E9721F3C8AD618131D74B0E0","added"
"66","1","125","1787760370953_2210334767131197631_g1860709059863148993_dbdd3da8be8053bac2db4f4c502d2461.jpg","masterdata/chap1/125.jpeg","599EA518A71C0D100FF63C6C98A0A17DA84E9813FC7388915851B7D1DACEC127","added"
"67","1","126","1787760371032_2210334767131197631_g1860709059863148993_64a674d60b354f0a98bae813712bd1e6.jpg","masterdata/chap1/126.jpeg","2E7B901ECF9B0D0F361436EA7211176F92241271B2159AEA854B42FA9331053B","added"
"68","1","128","1787760371131_2210334767131197631_g1860709059863148993_96b41c21b261c05bc232a2215e381a3e.jpg","masterdata/chap1/128.jpeg","831F53781D977E8845C67BF9DBB5F7EE834D61A9A9746142DEBBEC315B6F3165","added"
"69","1","129","1787760371205_2210334767131197631_g1860709059863148993_cee2506c5e70f231ec9522635ea46cba.jpg","masterdata/chap1/129.jpeg","1ECE9F76A152E07463C67BD9B5637023327AE2A38F8888FEAFAD3E679E511A9C","added"
"70","1","127","1787760371294_2210334767131197631_g1860709059863148993_65a433513bc3b93d4d11c3a9cc441d67.jpg","masterdata/chap1/127.jpeg","77F3A2FACE89B5978B971DE462D124ADA3CACB71ADA85C604EDFCB783C3DBC1E","added"
"71","1","130","1787760371369_2210334767131197631_g1860709059863148993_388b4294f965f463bd75dd19b809bb2d.jpg","masterdata/chap1/130.jpeg","6D834995E6ACCCA86F938451F8B2A7FB48E1739C11AECC0960230FDF6D472116","added"
